gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME
423,Valley of Rocks,Devon CC,Marine Devonian,,Notified,SS702492,51.23,-3.86,270200,149200,01-Dec-80,06-Sep-84,NE,"The Valley of Rocks contains excellent exposures of the Devonian Lynton Beds, displaying the typical fauna and lithologies of the North Devon Coast sections. The exposure is extensive and the beds are very fossiliferous and have yielded almost every taxon which has been recorded from the Lynton Beds. These are stratigraphically the oldest Devonian units in the North Devon-Somerset area.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",WEST EXMOOR COAST AND WOODS
424,Saltern Cove,Torbay,Marine Devonian,,Notified,SX895580,50.41,-3.56,289500,58000,01-Dec-80,06-Sep-84,NE,"The Saltern Cove area, including the north end of Shell Cove and the south end of Waterside Cove, displays an extensive section through the Upper Devonian, and includes interesting structures, and the richly fossiliferous Saltern Cove Goniatite Bed. The lower Devonian beds exposed in Waterside Cove are a good example of the Staddon facies of the Meadfoot Group and are richly fossiliferous. Waterside Cove also displays well the unconformable contact between the Lower Devonian and the overlying Permian beds. One of the most important Upper Devonian stratigraphic localities in Britain.",Devonian,Coastal and River Cliffs,SALTERN COVE
425,Daddy Hole,Torbay,Marine Devonian,,Notified,SX928628,50.45,-3.51,292800,62800,01-Dec-80,14-Nov-83,NE,"This site includes the type section of the Devonian Daddyhole Limestone and displays well the characters of this carbonate unit. There is a rich fauna which is well-exposed, and the limestones are noteworthy in containing desiccation cracks, a very uncommon feature in the Torquay Limestone. In Daddyhole Cove an alternating sequence of shales and limestones indicate local facies variations in the late Eifelian, important in interpreting the palaeoecology of the Middle Devonian limestones of the Torbay area. These units are well- displayed in a large recumbent fold.",Devonian,Coastal and River Cliffs,DADDYHOLE
426,Hope`s Nose,Torbay,Marine Devonian,,Notified,SX948635,50.46,-3.48,294800,63500,01-Dec-80,27-Jun-86,NE,"This site contains excellent exposures of the Devonian Daddyhole Limestone (Eifelian) and displays the typical characteristics of this unit as well as unusual features, such as evidence of penecontemporaneous erosion, within the limestones of the old Hope's Nose quarry. Distinct subfacies can be recognised in the limestones exposed here. A well-known Devonian locality with unrivalled exposures in the Torquay Limestone.",Devonian,Coastal and River Cliffs,HOPE`S NOSE TO WALL`S HILL
427,East Ogwell Quarry,Devon CC,Marine Devonian,,Notified,SX840706,50.52,-3.64,284000,70600,01-Dec-80,14-Nov-83,NE,"This small Devonian limestone quarry exposes beds typical of the West Hill succession of the East Ogwell Limestone (Givetian- Frasnian). This locality has yielded a rich fauna and it shows limestone with a lithology indicative of a shallow-water, carbonate platform environment; contrasting strongly with bioherm developments which occur elsewhere in the East Ogwell Limestone.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",EAST OGWELL QUARRY
428,Ransley Quarries,Devon CC,Marine Devonian,,Notified,SX844701,50.52,-3.63,284400,70100,01-Dec-80,14-Nov-83,NE,"Ransley Quarry exposes the upper levels of the East Ogwell Limestone (Givetian-Frasnian) which comprises a bioherm of massive limestone draped with shales and shaley limestones, this has yielded a rich and varied fauna. The lithologies exposed at Ransley (East Hill succession) differ from the other East Ogwell Limestone exposures. This site exposes the best example of a Frasnian bioherm known in Britain.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",RANSLEY QUARRY
429,New Cut,Torbay,Marine Devonian,,Notified,SX935638,50.46,-3.5,293500,63800,01-Dec-80,14-Nov-83,NE,"The New Cut provides the best exposure displaying the lithological and palaeontological characters of the Staddon facies of the Devonian Meadfoot Group. The composition of the brachiopod fauna and the presence of large numbers of homalonotid trilobites, unique to this locality in Britain, indicate a near-shore, inner shelf environment, which contrasts with the deeper water facies typical of most of the Meadfoot Group in the Torbay area. A unique palaeontological locality.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings","NEW CUT, TORQUAY"
430,Dean Steep,Devon CC,Marine Devonian,,Notified,SS708479,51.22,-3.85,270800,147900,01-Dec-80,14-Nov-83,NE,"An extensive section through the upper levels of the Devonian Lynton Beds and their conformable passage into the overlying Hangman Sandstone Formation. Although the Hangman beds are poorly dated, the evidence of the Lynton Beds' fauna indicates that the Lynton/Hangman boundary corresponds approximately to the Lower/Middle Devonian boundary. This section shows the typical lower Hangman and Lynton lithologies in excellent exposures.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",DEAN STEEP
465,Broadridge Quarry,Devon CC,Marine Devonian,,Notified,SX839711,50.53,-3.64,283900,71100,01-Feb-81,14-Nov-83,NE,"This locality provides the best exposure available of the upper horizons of the Chercombe Bridge Limestone (Upper Eifelian- Givetian). It shows a good example of a stromatoporoid/coral reef, a kind of bioherm developed in a restricted circulation environment. The limestone here is richly fossiliferous. This locality is important in demonstrating the facies variations which occurred during the Middle Devonian in south Devon.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",RIVER LEMON VALLEY WOODS
466,Chercombe Bridge Quarry,Devon CC,Marine Devonian,,Notified,SX834710,50.53,-3.65,283400,71000,01-Feb-81,14-Nov-83,NE,"This site is the type locality of the Chercombe Bridge Limestone (late Eifelian-Givetian) and shows a good example of a coral dominated reef, which grew in a quiet water environment. The lowest horizons exposed comprise shaley limestones with a rich Eifelian age trilobite fauna. This site is notable in displaying one of the many facies variations which occurred in the Middle Devonian in south Devon, with a wealth of palaeontological material.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",RIVER LEMON VALLEY WOODS
467,Crock Point,Devon CC,Marine Devonian,,Notified,SS689490,51.22,-3.88,268900,149000,01-Feb-81,14-Nov-83,NE,"A key locality in the Lynton Beds which has yielded a unique shelly fauna. The fossil assemblage is of importance in interpreting the palaeoecology of these sediments. Its main significance is in establishing for the first time a late Emsian date for the upper horizon of this unit, thus proving that the whole of the Lynton Beds should be assigned to the Lower Devonian. A key stratigraphic locality.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",WEST EXMOOR COAST AND WOODS
468,Dyers Quarry,Torbay,Marine Devonian,,Notified,SX921628,50.45,-3.52,292100,62800,01-Feb-81,14-Nov-83,NE,"Dyer's Quarry exposes the best sections available of the upper horizons of the Daddyhole Limestone (late Eifelian); horizons which are not exposed at the type section, Daddyhole. There is a rich fauna dominated by corals which can be observed in the quarry face and also on bedding planes on the quarry floor. This locality is of particular interest in showing the presence of corals in their position of growth, the best example in south Devon, and lateral changes in coral growth and species distribution related to the substrate.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",DYER`S QUARRY
470,Lower Dunscombe Farm Quarry,Devon CC,Marine Devonian,,Notified,SX885790,50.6,-3.58,288500,79000,01-Feb-81,06-Sep-84,NE,"This site is important in illustrating some of the facies variations which occurred in the Devonian sedimentary rocks of south Devon. This locality provides a good exposure of the topmost Chudleigh Limestone (Frasnian) and displays well the transition from a carbonate platform environment, with a rich coral fauna, to a deeper water environment, with goniatites. The goniatite bearing horizon, the Lower Dunscombe Goniatite Band, is useful for local correlation in the Chudleigh area.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",LOWER DUNSCOMBE FARM QUARRY
471,Lummaton Quarry,Torbay,Marine Devonian,,Notified,SX911665,50.49,-3.54,291100,66500,01-Feb-81,14-Nov-83,NE,"This quarry in the Devonian Walls Hill Limestone shows a good example of a stromatoporoid reef. This locality is, however, more important for its exposure of the lower horizons of the overlying Barton Limestone, the Lummaton Shell Beds Member. This unit comprises discontinuous pockets and lenses containing an extremely rich shelly fauna of Givetian age. Although the exact position and extent of the outcrop varies with quarrying operations, this locality is now unique as other exposures of the Lummaton Shell Beds are no longer available. A key palaeontological site in the Torquay Limestone.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",LUMMATON QUARRY
472,Plaistow Quarry,Devon CC,Marine Devonian,,Notified,SS568373,51.12,-4.05,256800,137300,01-Jan-81,14-Nov-83,NE,"This is a very richly fossiliferous site and is, by far, the best fossil locality within the Devonian Baggy Beds (Famennian). It has yielded a rich invertebrate fauna as well as good plant specimens.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",PLAISTOW QUARRY
476,Bull Cove,Devon CC,Marine Devonian,,Notified,SS482484,51.21,-4.17,248200,148400,01-Feb-81,19-Jan-84,NE,"A locality within the Dartmouth Beds (lower-Middle Seigenian) which includes a fossiliferous horizon yielding marine fossils of a mid or late Siegenian age. This is an important record as the Dartmouth Beds are typically non-marine and referable to the Old Red Sandstone magnafacies. These deposits indicate a temporary marine transgression, anticipating the establishment of fully marine conditions as represented by the overlying Meadfoot Group, and are significant in elucidating the complex story of the migration of the Devonian shoreline.",Devonian,Coastal and River Cliffs,RAME HEAD & WHITSAND BAY
539,Hollowbrook,Devon CC,Marine Devonian,,Notified,SS664497,51.23,-3.91,266400,149700,01-Mar-81,14-Nov-81,NE,"An important locality exposing a complete section through the Lynton Beds/Hangman Sandstone Group boundary and forms the type section of the Hollowbrook Formation, the lowest unit of the Hangman Sandstone Group. This site is of interest in displaying the transition from a shallow water, marine environment to a littoral facies which occurred approximately around the Lower/Middle Devonian boundary. A key site in interpretations of Devonian palaeogeography and in fixing the southern limit of the Old Red Sandstone continent.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",WEST EXMOOR COAST AND WOODS
560,Napps Cave,Devon CC,Caves,Outlying karst areas in England,Notified,SS565475,51.21,-4.05,256500,147500,01-Apr-81,14-Nov-83,NE,"The site covers a single small cave with an entrance in an old quarry. Although less than 250m of passages are mapped, the cave is of prime importance for the very spectacular aragonite crystals whose size and abundance make them unique to Britain. Crystals up to 70mm in length occur in radiating clusters and those in the inner chambers are in a perfect state of preservation.",Quaternary,Caves and Karst,NAPP`S CAVE
570,Buckfastleigh Caves,Devon CC,Caves,Outlying karst areas in England,Notified,SX735652,50.47,-3.78,273500,65200,01-May-81,04-Nov-82,NE,"The site covers three isolated outcrops of limestone each of which contains cave systems which cross-correlate to provide a long record of underground development. The caves are mostly shallow phreatic and their levels of development demonstrate a sequence of incision phases, matched with terrace formation, by the River Dart through at least the late parts of the Pleistocene. In addition, the caves contain significantly spectacular mineral deposits, and also fossiliferous clastic sediments which further contribute to the Pleistocene record.",Quaternary,Caves and Karst,BUCKFASTLEIGH CAVES
585,Lydford Gorge,Devon CC,Marine Devonian,,Notified,SX501835,50.63,-4.12,250100,83500,01-Mar-81,24-Feb-86,NE,Lydford Gorge includes the only exposure of the Lydford Thrust which separates two major tectonic units in grey Famennian slates - the Liddaton Slates and the Lydford Formation. The site also includes the type section of the Manor Hotel Beds which have yielded the index fossil of the Platyclymenia Zone (Famennian). This site is of importance in interpreting the stratigraphy of an area complicated by widespread tectonism.,Devonian,Inland Outcrops and Stream Sections,LYDFORD GORGE
586,Myrtleberry Cleave,Devon CC,Marine Devonian,,Notified,SS730492,51.23,-3.82,273000,149200,01-Mar-81,14-Nov-83,NE,"An exposure low in the Lynton Beds (late Emsian), unique in displaying parallel laminated sandstones, in contrast with the usual Lynton Beds succession of mudstones and siltstones. Large examples of the trace fossils present indicate a shallow water environment, not recorded elsewhere in the Lynton Beds. Some horizons at this locality resemble the normal Lynton Beds lithology and have yielded a typical brachiopod fauna.",Devonian,"Exposures in Disused Quarries, Pits and Cuttings",WATERSMEET
631,Shapwick Grange Quarry,Devon CC,Aptian-Albian,,Notified,SY311916,50.72,-2.98,331100,91600,01-Jun-81,14-Nov-83,NE,The quarry is the only locality in Devon to have yielded an in situ dispar Zone ammonite fauna from the Upper Greensand and is therefore of vital biostratigraphic significance - especially in view of the present controversy over the age of the Upper Greensand in the south-west. A key site for palaeogeographic and stratigraphic studies in the Lower Cretaceous.,Cretaceous,Exposures in Active Quarries and Pits,SHAPWICK GRANGE QUARRY
632,East Cliff to White Cliff,Devon CC,Aptian-Albian,,Notified,SY209880,50.69,-3.12,320900,88000,01-Jun-81,06-Sep-84,NE,"These cliff sections provide the finest exposures of the Foxmould Sands and Chert Beds (Upper Greensand) in south-west England. The site may be used as the type locality for these members, and the section is of critical importance as a standard with which to compare and contrast inland exposures. The quality of exposure allows particularly good opportunities to study the sedimentology of Upper Greensand Chert and hardground formation.",Cretaceous,Coastal and River Cliffs,SIDMOUTH TO BEER COAST
662,Red-a-Ven Mine,Devon CC,Mineralogy of South West England,,Notified,SX570917,50.71,-4.03,257000,91700,01-Aug-81,15-Feb-91,NE,"An old copper trial mine in the Meldon Chert Formation. A sulphide-rich chert bed about 0.75m wide, containing abundant pyrrhotite with arsenopyrite and chalcopyrite, outcrops in the Red-a-Ven Brook below the mine dumps. It is associated with narrow bands of wollastonite hornfels (skarns) containing tin-bearing garnets and the rare tin silicate mineral, malayaite. The garnets are of two types, both the andradite and grossularite are tin- bearing, but the amount present varies depending on the presence or absence of malayaite in the same rock. Other minerals of interest are scheelite, helite, axinite, datolite, danburite, lollingite, bornite, molybdenite, pyroxenes and good specimens of green idocrase. The dumps at Red-a-Ven mine yield interesting specimens of sulphide bearing skarns and cherts in which the associated tin-tungsten mineralisation is represented by unusual silicates. Malayaite is only known from one other locality in the world and tin-bearing garnets are also very unusual. The site is important for research on the genesis and metallurgical benefication of ore-bearing skarns. In addition, interesting specimens of fairly rare calc-silicate minerals can be collected.",,Rare/unique Mineral/ Fossil Site,MELDON APLITE QUARRY
663,Meldon Aplite Quarries,Devon CC,Mineralogy of South West England,,Notified,SX567920,50.71,-4.03,256700,92000,01-Aug-81,15-Feb-91,NE,"This site consists of two quarries in the Meldon Aplite with an associated suite of very rare minerals. In the southern quarry the aplite, mainly within hornfelsed shales and tuffs, is about 20m thick. In the upper level of the quarry it splits into several smaller dykes. Mineralisation along joints through both the aplite and the tuffs consists mainly of fluorite. Local pegmatitic segregations contain most of the interesting minerals. In the northern quarrry the aplite comprises several dykes up to 2m in width, with many offshoots into the cherts and shales. Contacts with these rocks are often mineralised and these can be clearly seen in bot quarries. The aplite is lithium-beryllium rich, and this is reflected in the mineralogy. Petalite may be found in perthite veins and occasionally as disseminations in the aplite up to 30% by volume. Lepidolite mica is common and other lithium-rich phases include spodumene, montebrasite, amblygonite, and lithium-rich pink and green tourmalines. Beryllium is represented by beryl, chrysoberyl, beryllonite, milarite, eudidymite, bavenite and rhodizite. The last named also contains caesium and boron. The only other known caesium mineral, pollucite, is also found in the aplite, while boron is also present in axinite, tourmaline, datolite and priceite. Many of the minerals listed above are unknown elsewhere in Britain and only known from a few localities in the world. Columbite has also been recorded from Meldon. However, the more common minerals such as feldspar, muscovite, apatite and topaz are also of interest in the more pegmatitic parts of the dyke, while prehnite occurs in some veins and cordierite in the surrounding shales. The Meldon aplite quarries are world famous for the variety of rare granitic minerals they contain.",,Rare/unique Mineral/ Fossil Site,MELDON APLITE QUARRY
664,Devon United Mine,Devon CC,Mineralogy of South West England,,Notified,SX521795,50.6,-4.09,252100,79500,01-Aug-81,14-Nov-83,NE,"**THIS SITE IS CURRENTLY UNDER RE-CONSIDERATION**

A large dump in the wood on the south side of the River Tavy marks the site of the shaft of North Mine. The mine was principally a copper producer but the veinstone on the dump contains mainly arsenopyrite and cassiterite. Of far more interest is a much smaller dump to the west. Recent digging has here exposed samples of quartz vein with abundant scheelite and native bismuth and crystalline arsenopyrite of excellent quality. The mineralisation is fairly typical of the tin/copper zone boundary except that scheelite develops in calcareous rocks rather than wolframite.",,Mine Dump,DEVON UNITED MINE
665,Devon Great Consols,Devon CC,Mineralogy of South West England,,Notified,SX431735,50.54,-4.21,243100,73500,01-Aug-81,14-Nov-85,NE,"The mine, of which this site was a part, worked the largest sulphide lode in south-west England, the vein being worked continuously for 4km. Most of the dumps have since been reworked, but the present site is untouched dump and is indicative of the original vein mineralogy. The dump contains fine specimens of massive arsenopyrite and comby quartz, the latter containing well-crystallised siderite and francolite (variety of apatite). Large blocks of siderite are plentiful. As most of the copper has been removed and arsenopyrite is resistant to weathering, the dump is a good example of the primary mineralogy of the upper part of the copper zone and few secondary copper-arsenic minerals are seen. The carbonate-rich gangue minerals occurring are typical of veins in areas of Upper Devonian rocks (which are rather calcareous) but unusual for mineralisation elsewhere in south-west England.",,Mine Dump,DEVON GREAT CONSOLS
666,Wheal Emily,Devon CC,Mineralogy of South West England,,Notified,SX540498,50.33,-4.05,254000,49800,01-Aug-81,14-Nov-83,NE,"Wheal Emily demonstrates an unusual occurrence of antimony ore in a position isolated from any other mineralisation. The mine has recently been re-opened by clearance of the crosscut adit and is now accessible as far as the vein. Clearance along the vein has commenced and blocks of fresh ore are to be found on dumps at the adit mouth. The ore is a complex intergrowth of sulphur salts including jamesonite, semseyite, boulangerite, meneghinite, bournonite and galena. Some of these minerals are only known from one or two other localities and cannot be obtained elsewhere at present. The mine may be worked commercially, as gold is often present in antimony ore, and development would produce considerable mineralogical interest, and may cast some light on the genesis of this unusual deposit.",,Rare/unique Mineral/ Fossil Site,WHEAL EMILY
667,High Down Quarry,Devon CC,Mineralogy of South West England,,Notified,SS653289,51.04,-3.92,265300,128900,01-Aug-81,10-Sep-82,NE,"This site is the world type locality of the aluminium phosphate mineral, wavellite. The quarry faces expose black carbonaceous cherty slates of the Coddon Hill Beds with wavellite crystals sparingly present along cleavage joints. In an overgrown part of the quarry, numerous pits made by mineral collectors have covered the floor with a scree-like debris in which many good samples of typically radiating wavellite crystals can be seen on joint surfaces. The only British record of the rare mineral variscite (also an aluminium phosphate) is from High Down. The variscite is intimately associated with wavellite. Present day samples are just as good as those figured in Sowerby's British Mineralogy of 1806 and this is a rare example of a classic mineral type locality which is still productive. The genesis of the wavellite has not been discussed.",,Rare/unique Mineral/ Fossil Site,HIGH DOWN QUARRY
668,Lockeridge Mine,Devon CC,Mineralogy of South West England,,Notified,SX438663,50.48,-4.2,243800,66300,01-Aug-81,14-Nov-83,NE,"**THIS SITE IS CURRENTLY UNDER RE-CONSIDERATION**

This small mine is situated towards the northern end of the large South Tamar lead lode. Although not reworked for fluorite like most local dumps it is nevertheless very rich in that mineral and sphalerite. Excellent specimens of green fluorite, sphalerite and vuggy quartz vein with carbonates can be obtained. Although there are few secondary minerals and practically no galena, the dump shows a typical example of lead mineralisation outside the Carboniferous Limestone area.",,Mine Dump,LOCKRIDGE MINE
800,Axemouth to Lyme Regis,Devon CC,Mass movement,,Notified,SY234899,50.7,-3.08,323400,89900,01-Oct-81,21-Mar-86,NE,"This is the most renowned area of landslipping in Great Britain. Although movements probably commenced towards the end of the Pleistocene, the very large Bindon Landslip of 1839, in the centre of the area, brought the site to public prominence. The features of the Bindon slip are now much obscured by vegetation, but the major topographic elements, for example the chasm-bounded block known as Goat Island, are clearly discernable from the air. The series of slides involves Chalk, Upper Greensand and Gault, and Triassic and Jurassic sediments beneath. Large-scale movements are infrequent, but smaller scale movements continue to the present- day, notably near the western fringes of Lyme Regis. An historic site which has played an important part in the elucidation of landslip processes.",Quaternary,Active Process Geomorphological Site,AXMOUTH TO LYME REGIS UNDER CLIFFS
813,Otterton Point (Budleigh Salterton),Devon CC,Permian - Triassic Reptilia,British Triassic fossil reptile sites,Notified,SY077819,50.63,-3.31,307700,81900,01-Oct-81,21-Mar-86,NE,"Otterton Point has yielded the best remains of the diagnostic tooth plates, as well as lower jaw, of the Devon rhynchosaur. As the only fossils, these allow approximate mid-Triassic dating of the Otter Sandstone Formation. This is also the furthest south occurrence of Rhynchosaurus, and it is of interest palaeogeographically. The lower jaw was collected recently, and there is potential for more finds and future research.",Triassic,Coastal and River Cliffs,OTTER ESTUARY
814,High Peak (Sidmouth),Devon CC,Permian - Triassic Reptilia,British Triassic fossil reptile sites,Notified,SY104858,50.66,-3.27,310400,85800,01-Oct-81,06-Sep-84,NE,"The cliffs below High Peak have yielded remains of Middle Triassic fossil fish, amphibians and reptiles. Specimens ofthe labyrinthodont Mastodonsaurus (including type material) and the rhynchosaur Rhynchosaurus are closely similar to forms from the Warwick and Bromsgrove areas in the Midlands, and allow correlation between the two areas. The remains from High Peak are disarticulated but well-preserved, and fresh cliff falls will almost certainly yield more material. The best fauna of Middle Triassic fossil vertebrates in southern Britain.",Triassic,Coastal and River Cliffs,LADRAM BAY TO SIDMOUTH
916,Lyme Regis (Pinhay Bay-Charmouth),Devon CC,Jurassic - Cretaceous Reptilia,British Early Jurassic fossil reptile sites,Notified,SY321908,50.71,-2.96,332100,90800,01-Nov-81,21-Mar-86,NE,"The Lower Lias of this coast has yielded hundreds of extremely well- preserved specimens of ichthyosaurs, plesiosaurs, pterosaurs and dinosaurs, including type specimens of more than 15 species. Fossil reptiles have been collected here since the 18th century, and important finds are still being made as cliff erosion exposes fresh rock. Entire skeletons have been extracted from the Blue Lias and the Shales with beef. The richest Lower Jurassic reptile site in Britain, and probably the world.",Jurassic,Coastal and River Cliffs,WEST DORSET COAST
1186,Tornewton Cave,Devon CC,Pleistocene Vertebrata,,Notified,SX817675,50.49,-3.67,281700,67500,01-Sep-82,14-Nov-83,NE,"Tornewton Cave is one of the most important Pleistocene localities in Britain in that it provides a clear sequence of fauna representing the Wolstonian Cold Stage/Ipswichian Interglacial/Devensian Cold Stage cycle. Equally significant is the occurrence of species unique to the site (Clawless Otter [Aonyx antiqua] and the Steppe Lemming [Lagurus lagurus]) or very rare in Britain (Glutton [Gulo gulo], common Hamster [Cricetus cricetus] and an extinct Hamster [Allocricetus bursae]). Many of the faunistically older deposits (the Glutton and Bear Strata) remain in situ. The Devensian horizons including the Reindeer Stratum (which are the youngest deposits) occur extensively in front of the caves.",Quaternary,Rare /unique Mineral / Fossil Site,TORBRYAN CAVES
