"ID","Name","LGG No","Grid Ref","X","Y","Lat","Lon","Local Authority","Parish","Public Access","Access","Period","Rock Group","Geological Highlights","Condition"
24,"Gadds Bottom Quarry","ST22/506","ST232293",323200,129300,51.057884,-3.0972133,"Taunton Deane B C","Kingston St.Mary","TRUE","Full","Devonian","Morte Slate","TECTONICS SEDIMENTS","Good declining"
25,"Yarford Quarry","ST22/517","ST203299",320300,129900,51.062882,-3.1387164,"Taunton Deane B C","Kingston St.Mary","FALSE","Uncertain","Permian/Triassic","Otter Sandstone","SEDIMENTS","Good declining"
26,"Tetton Park Quarry","ST23/527","ST203301",320300,130100,51.064681,-3.1387605,"Taunton Deane B C","Kingston St.Mary","TRUE","Conditional","Devonian","Morte Slate","SEDIMENTS","Good declining"
27,"Sandy Lane Langley","ST02/519B","ST08002890",308000,128900,51.052051,-3.3139399,"Taunton Deane B C","Wiveliscombe","TRUE",,"Permian/Triassic","Vexford Breccias",,
28,"Waterrow Quarry","ST02/527","ST05502458",305500,124580,51.012809,-3.3484691,"Taunton Deane B C","Bathealton","FALSE","Full","Carboniferous","Pilton Slates","SEDIMENTS","Good steady"
29,"Oakhampton Quarry","ST03/542","ST085301",308500,130100,51.062919,-3.3071122,"Taunton Deane B C","Bathealton","Yes","Full","Devonian","Morte Slate","SEDIMENTS","Good declining"
30,"Clatworthy Reservoir","ST03/558","ST04323140",304320,131400,51.073923,-3.3670888,"Taunton Deane B C","Clatworthy","TRUE","Full","Devonian","Morte Slates landforms","SEDIMENTS TECTONICS","Good declining"
31,"Oakhampton Viewpoint","ST03/559","ST09003010",309000,130100,51.062998,-3.299979,"Taunton Deane B C","Wiveliscombe","FALSE","Full","Recent","Viewpoint","LANDSCAPE","Good"
32,"Northway Quarry","ST12/501","ST13632950",313630,129500,51.05832,-3.2337807,"Taunton Deane B C","Ash Priors","FALSE","Uncertain","Permian/Triassic","Bunter Sandstone pebble beds","SEDIMENTS",
33,"Nynehead Quarry","ST12/543","ST14102290",314100,122900,50.999056,-3.2255097,"Taunton Deane B C","Nynehead","TRUE","Uncertain","Permian/Triassic","Otter Sandstone",,
34,"Hoccombe Channels","ST12/546","ST11312980",311310,129800,51.060663,-3.2669496,"Taunton Deane B C","Fitzhead","TRUE","Full","Quaternary","alluvium","FLUVIAL FEATURES","Good"
35,"Norton Fitzwarren Church","ST12/547","ST19722598",319720,125980,51.027559,-3.1461211,"Taunton Deane B C","Norton Fitzwarren","TRUE","FULL","Permian/Triassic","North Curry Sst as building stones","N CURRY SANDSTONE","Good"
36,"Cushuish Lane Holloway","ST13/607","ST19753031",319750,130310,51.066492,-3.1466544,"Taunton Deane B C","Kingston St.Mary","TRUE","Full","Devonian","Morte Slate - folds","SEDIMENTS NEAR QUANTOCK FAULT","Good"
37,"Hestercombe Car Park","ST22/526","ST24062920",324060,129200,51.0571,-3.0849236,"Taunton Deane B C","Kingston St.Mary","TRUE","Conditional","Carboniferous","diorite intrusion","HEAD TECTONICS","Poor declining"
38,"Taunton Town Trail","ST22/529","ST226246",322600,124600,51.015548,-3.1047673,"Taunton Deane B C","Taunton","TRUE",,"Recent","Building stones","COLLECTION OF LOCAL BUILDING STONES","Good"
39,"Keepers Combe Quarry","ST13/549","ST18253710",318250,137100,51.127323,-3.1695964,"Sedgemoor District","Spaxton","TRUE","Full","Devonian","Volcanic Tuff","IGNEOUS",
40,"Pepperhill Quarry","ST13/587","ST18983722",318980,137220,51.128506,-3.1591939,"Sedgemoor District","Spaxton","TRUE","Uncertain","Devonian","Folds","TECTONIC","Poor declining"
41,"King's Cliff Quarry","ST23/524","ST277326",327700,132600,51.088138,-3.0336767,"Sedgemoor District","North Petherton","TRUE","Full","Devonian","Morte Slate","SEDIMENTS","Good declining"
42,"Broomfield Quarrylands","ST23/547","ST22103237",322100,132370,51.085336,-3.1135682,"Sedgemoor District","Broomfield","TRUE","Full","Devonian","Morte Slate","SEDIMENTS","Good declining"
43,"North Newton Holloway","ST23/549","ST294309",329400,130900,51.073066,-3.0090755,"Sedgemoor District","North Petherton","TRUE","Full","Permian/Triassic","Otter Sandstone Calcrete","SEDIMENTS","Good steady"
44,"Adscombe Trackway","ST13/604","ST18023783",318020,137830,51.133853,-3.1730486,"Sedgemoor District","Over Stowey","TRUE","Uncertain","Devonian","Ilfracombe Beds","SEDIMENTS","Poor declining"
45,"Rams Combe","ST13/605","ST16823763",316820,137630,51.131882,-3.190149,"Sedgemoor District","Over Stowey","TRUE","Uncertain","Devonian","Hangman Sandstone","SEDIMENTS","Poor declining"
46,"Parsons Lane Quarry","ST13/550","ST19163618",319160,136180,51.119182,-3.1563886,"Sedgemoor District","Spaxton","TRUE","Uncertain","Devonian","Roadwater Limestone","SEDIMENTS","Poor declining"
47,"Plainsfield Quarry","ST13/603","ST19333698",319330,136980,51.126398,-3.1541395,"Sedgemoor District","Spaxton","FALSE",,"Devonian","Roadwater Limestone","SEDIMENTS",
48,"Holloway Rocks","ST45/505","ST456575",345600,157500,51.313997,-2.7819124,"Sedgemoor District","Shipham","TRUE",,"Permian/Triassic","Dolomitic Conglomerate","SEDIMENTS TECTONICS",
49,"GB Cave","ST45/508","ST476562",347600,156200,51.302497,-2.7530279,"Sedgemoor District","Cheddar","FALSE",,"Carboniferous","Karst",,
50,"Cross Quarry","ST45/510","ST414549",341400,154900,51.290203,-2.8417391,"Sedgemoor District","Compton Bishop","TRUE","Full","Carboniferous","Clifton Down Limestone","SEDIMENTS","Good steady"
51,"Churchill Farm Holloways","ST23/549","ST294309",329400,130900,51.073066,-3.0090755,"Sedgemoor District","North Petherton","TRUE",,"Permian/Triassic","Otter Sandstone",,
52,"Cannington Park Quarry","ST24/508","ST251404",325100,140400,51.15793,-3.0724157,"Sedgemoor District","Cannington","FALSE","Conditional","Carboniferous","Carboniferous Limestone","TECTONICS SEDIMENTS BAYTES","Good declining"
53,"Merridge Quarry","ST23/514","ST20813438",320810,134380,51.10323,-3.1324233,"Sedgemoor District","Broomfield","FALSE","Uncertain","Devonian","Roadwater Limestone","SEDIMENTS","Good declining"
54,"No Place Quarry","ST23/518","ST21853476",321850,134760,51.106789,-3.1176548,"Sedgemoor District","Broomfield","TRUE","Conditional","Devonian","Holwell Limestone","SEDIMENTS",
55,"Holwell Cave","ST23/500","ST21053400",321050,134000,51.099847,-3.128913,"Sedgemoor District","Broomfield","FALSE","Conditional","Quaternary","Holwell Cave","CAVE  SYSTEM","Good steady"
56,"Manor Farm Quarry","ST23/501","ST20833365",320830,133650,51.09667,-3.1319774,"Sedgemoor District","Broomfield","FALSE","Uncertain","Devonian","Roadwater Limestone","SEDIMENTS",
57,"Quantock Quarry","ST23/502","ST21183360",321180,133600,51.096269,-3.1269693,"Sedgemoor District","Broomfield","TRUE","Uncertain","Devonian","Aisholt Limestone","SEDIMENTS",
58,"Wayford Woods","ST40/514","ST3906",339000,106000,50.850287,-2.867887,"South Somerset D C","Wayford","TRUE","Full","Cretaceous","Greensand","LANDSLIPS GREENSAND","Good declining"
59,"Knapps Lane Quarry","ST30/505","ST362098",336200,109800,50.884151,-2.9083203,"South Somerset D C","Chaffcombe","TRUE",,"Cretaceous","Upper Greensand","SEDIMENTS","Good declining"
60,"Hurcott Road Cutting","ST31/508","ST399161",339900,116100,50.941194,-2.8567691,"South Somerset D C","Seavington St.Mary","TRUE","Full","Jurassic","Beacon Limestone","SEDIMENTS FOSSILS","Good declining"
61,"Townsend Quarry","ST31/509","ST372148",337200,114800,50.929217,-2.8949685,"South Somerset D C","Whitelackington","FALSE","Conditional","Jurassic","Marlstone Rock Beds","SEDIMENTS","Good steady"
62,"Manor House Quarry","ST40/504","ST465097",346500,109700,50.8843,-2.7619009,"South Somerset D C","North Perrott","FALSE","Conditional","Jurassic","Ham Hill Stone & Inferior Oolite","HAM HILL STONE OUTLIER","Poor declining"
63,"Limeworks Quarry","ST40/506","ST459074",345900,107400,50.863563,-2.7700884,"South Somerset D C","Little Sutton","FALSE","Conditional","Jurassic","Inferior Oolite","SEDIMENTS  FOSSILS","Poor steady"
64,"Lyewater Rock Face","ST40/513","ST436095",343600,109500,50.882225,-2.8030908,"South Somerset D C","Crewkerne","TRUE","Full","Jurassic","Inferior Oolite","SEDIMENTS FOSSILS","Good declining"
65,"Ham Hill Group","ST41/500","ST482162",348200,116200,50.9429,-2.7386616,"South Somerset D C","Montacute","TRUE","Full","Jurassic","Ham Hill Stone","SEDIMENTS TECTONICS","Good"
66,"Warren Hill Cutting","ST41/501","ST404103",340400,110300,50.889096,-2.8487041,"South Somerset D C","West Crewkerne","TRUE","Full","Cretaceous","Upper Greensand","SEDIMENTS","Good declining"
67,"Bayford Cutting","ST75/505","ST72182876",372180,128760,51.057501,-2.3983241,"South Somerset D C","Stoke Trister","TRUE",,"Jurassic","Cornbrash","SEDIMENTS",
68,"Gilcombe Quarry","ST63/531","ST69273614",369270,136140,51.123712,-2.4404743,"South Somerset D C","Bruton","FALSE","Conditional","Jurassic","Forest Marble","SEDIMENTS AND SEDIMENTARY STRUCTURE","Poor declining"
69,"Hadspen Quarry","ST63/535","ST65503144",365500,131440,51.081235,-2.4938904,"South Somerset D C","Pitcombe","FALSE","Conditional","Jurassic","Inferior Oolite","TYPICAL 'HADSPEN STONE' ACTIVE QUARRY","Good"
70,"Pen Selwood Landslip","ST73/507","ST753302",375300,130200,51.070593,-2.3539063,"South Somerset D C","Pen Selwood","TRUE","Conditional","Quaternary","Landslip","ACTIVE LANDSLIP","Poor declining"
71,"River Brue Bed & Cliff","ST63/539","ST69023503",369020,135030,51.113717,-2.4439507,"South Somerset D C","Bruton","TRUE",,"Jurassic","Fullers Earth Rock","SEDIMENTS","Good steady"
72,"Quarry Covert","ST62/515","ST62052536",362050,125360,51.026347,-2.5425,"South Somerset D C","Compton Paucefoot","FALSE","Conditional","Jurassic","Inferior Oolite","THICK UPPER INFERIOR OOLITE","Good declining"
73,"Quarry Plantation","ST62/509","ST66582554",366580,125540,51.028247,-2.4779264,"South Somerset D C","Maperton","FALSE","Conditional","Jurassic","Inferior Oolite","SHEARING FAULTING NEAR MERE FAULT","Poor declining"
74,"Haselbury Mill Face","ST41/523","ST46021115",346020,111150,50.897293,-2.7689384,"South Somerset D C","Haselbury Pluckett","FALSE","Conditional","Jurassic","Inferior Oolite","SEDIMENTS","Poor declining"
75,"Keeper's Quarry Plantation","ST41/521","ST40431220",340430,112200,50.906183,-2.8485881,"South Somerset D C","Hinton St.George","FALSE","Conditional","Jurassic","Inferior Oolite","SEDIMENTS","Good declining"
76,"Somerton Lodge Corner","ST42/501","ST497285",349700,128500,51.053629,-2.7190213,"South Somerset D C","Somerton","TRUE","Full","Jurassic","White/Blue Lias","SEDIMENTS","Poor declin/lost"
77,"Cary Bridge Cutting","ST42/502","ST495293",349500,129300,51.060805,-2.7219864,"South Somerset D C","Somerton","FALSE","No access","Triassic/Jurassic","White/Blue Lias","SEDIMENTS TECTONICS","Poor declin/lost"
78,"Sutton Railway Cutting","ST42/504","ST453270",345300,127000,51.039739,-2.7815643,"South Somerset D C","Long Sutton","FALSE","Conditional","Jurassic","Blue Lias","LONG CUTTING EXPOSURE SEDIMENTS","Good"
79,"Birdspit Quarry","ST42/508","ST483261",348300,126100,51.031925,-2.7386504,"South Somerset D C","Somerton","FALSE","Conditional","Jurassic","Blue Lias","SEDIMENTS","Poor declining"
80,"Gilling Down","ST43/502","ST497322",349700,132200,51.086898,-2.7195372,"South Somerset D C","Compton Dundon","TRUE","Full","Triassic","Mercia Mudstones land forms","Active slumpimg, Gully development, Large Blue conserve","Good steady"
81,"Dundon Hill","ST43/505","ST484321",348400,132100,51.085883,-2.738082,"South Somerset D C","Compton Dundon","TRUE","Full","Jurassic","Blue Lias","SWT RESERVE","Poor steady"
82,"Station Quarry","ST52/500","ST530290",353000,129000,51.058405,-2.6720079,"South Somerset D C","Charlton Mackrell","FALSE","Conditional","Jurassic","Blue Lias","CP ROMAN TILES AND TESSERAE","Good declining"
83,"Tout Quarry","ST52/504","ST536281",353600,128100,51.050362,-2.6633316,"South Somerset D C","Charlton Mackerell","FALSE","Conditional","Jurassic","Blue Lias","SOURCE OF ALGAL BEDDING PLANES",
84,"Hurcot Quarry","ST52/505","ST507298",350700,129800,51.065405,-2.7049327,"South Somerset D C","Somerton","FALSE","Conditional","Triassic","Westbury Beds","SEDIMENTS",
85,"Mill Lane Exposure","5T52/511","ST517269",351700,126900,51.039415,-2.690275,"South Somerset D C","Kingsdon","TRUE","Full","Triassic","Blue Lias","STRIKE SLIP TECTONICS","Good"
86,"Lake View Quarry","ST53/501","ST546302",354600,130200,51.069324,-2.6493305,"South Somerset D C","Keinton Mandeville","FALSE","Conditional","Jurassic","Blue Lias","SEDIMENTS JOINTS","Good"
87,"Coombe Quarry","ST53/502","ST55023132",355020,131320,51.079428,-2.6434763,"South Somerset D C","Keinton Mandeville","FALSE","Conditional","Jurassic","Blue Lias","SEDIMENTS","Good declining"
88,"Sutton's Quarry","ST53/503","ST54663154",354660,131540,51.081378,-2.6486427,"South Somerset D C","Keinton Mandeville","FALSE","Conditional","Jurassic","Blue Lias","SEDIMENTS","Poor declining"
89,"King's Hill Quarry","ST53/504","ST545309",354500,130900,51.075611,-2.6508459,"South Somerset D C","Keinton Mandeville","FALSE","Conditional","Jurassic","Blue Lias","GOOD BLUE LIAS EXPOSURE","Good declining"
90,"Batemoor Quarry","ST41/514","ST488164",348800,116400,50.944752,-2.7301505,"South Somerset D C","Montacute","FALSE",,"Jurassic","Ham Hill Stone","SEDIMENTS FOSSILS",
91,"Camel Hill","ST52/513","ST59642550",359640,125500,51.027441,-2.5768777,"South Somerset D C","Queen Camel","TRUE","Conditional","Triassic","Langport Beds","WHITE LIAS","Good declining"
92,"Coker Hill Cutting","ST51/504","ST50361337",350360,113370,50.917645,-2.7075338,"South Somerset D C","East Chinnock","TRUE","Full","Jurassic","Bridport Sandstone","SEDIMENTARY  STRUCTURES","Good"
93,"Dorchester Road Cutting","ST51/508","ST553142",355300,114200,50.925513,-2.6373659,"South Somerset D C","Yeovil","TRUE","Full","Jurassic","Bridport Sandstone","PLANAR BEDDED SANDS","Good"
94,"East Chinnock Hollow","ST41/515","ST49901330",349900,113300,50.916975,-2.7140674,"South Somerset D C","East Chinnock","TRUE","Full","Jurassic","Bridport Sandstone","SEDIMENTS FOSSILS","Good steady"
95,"Montacute Holloway","ST41/519","ST49201632",349200,116320,50.944069,-2.7244463,"South Somerset D C","Montacute","TRUE","Full","Jurassic","Bridport Sandstone","EROSION HOLLOWAY SEDIMENTS","Good steady"
96,"Windmill Lane Exposure","ST51/506","ST50391736",350390,117360,50.953524,-2.7076515,"South Somerset D C","Montacute","TRUE",,"Jurassic","Marlstone","THIN MARLSTONE","Good declining"
97,"Preston Stream Section","ST51/510","ST53711673",353710,116730,50.948136,-2.6603091,"South Somerset D C","Yeovil","FALSE","Conditional","Jurassic","Beacon Limestone","STREAM SECTION","Poor declining"
98,"Sparkford Hill Copse","ST62/630","ST601253",360100,125300,51.025675,-2.5702968,"South Somerset D C","Sparkford","TRUE","Conditional","Jurassic","Blue Lias","WHITE BLUE LIAS EXPOSURES",
99,"Sutton Bingham Reservoir","ST51/509","ST550110",355000,111000,50.896715,-2.6412383,"South Somerset D C","Closworth","TRUE","Conditional","Jurassic","Forest Marble","SEDIMENTARY STRUCTURES","Good declining"
100,"Salt Hole Spring","ST41/509","ST48251300",348250,113000,50.914132,-2.7374947,"South Somerset D C","East Chinnock","FALSE",,"Quaternary","hydrological interest","HYDROLOGICAL INTEREST","Poor steady"
101,"West Chinnock Hill Cutting","ST41/518","ST46241269",346240,112690,50.91116,-2.7660377,"South Somerset D C","West Chinnock","TRUE",,"Jurassic","Ham Hill Stone","SEDIMENTS","Good declining"
102,"River Axe Flood Plain","ST30/504","ST35570503",335570,105030,50.841193,-2.9164334,"South Somerset D C","Wingham","TRUE",,"Quaternary","fluvial features","FLUVIAL FEATURES","Good steady"
103,"Corton Ridge & Beacon","ST62/531","ST6322",363000,122000,50.996196,-2.5286109,"South Somerset D C","Corton Denham","TRUE","Full","Quaternary","landforms","DOUBLE SCARP AND DIP","Good"
104,"Yeovil Town","ST51/507","ST539160",353900,116000,50.941587,-2.657512,"South Somerset D C","Yeovil","TRUE","Full","Jurassic","building stones","BEACON LIMESTONE CONDENSED FACIES","Good"
105,"West Chinnock Hill","ST41/520","ST460120",346000,112000,50.904934,-2.7693488,"South Somerset D C","West Chinnock","TRUE",,"Quaternary","landforms","LANDFORMS","Good steady"
106,"Ilminster Old Walls","ST31/510","ST360146",336000,114600,50.927287,-2.9120061,"South Somerset D C","Ilminster","TRUE",,"Jurassic","building stones","MARLSTONE FOSSILS","Good"
107,"Knole","ST42/510","ST482249",348200,124900,51.021127,-2.7399045,"South Somerset D C","Long Sutton","TRUE","Full","Quaternary","landforms","LANDFORMS TERACETTES","Good"
108,"Cow Castle","SS73/532","SS795371",279500,137100,51.120475,-3.7231134,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Landforms, Kentisbury Slate","TECTONIC LANDFORMS","Good"
109,"Wheal Eliza Mine","SS73/533","SS784381",278400,138100,51.12923,-3.7391604,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","former mine workings","HERITAGE SITE MINING SEDIMENTS","Good declining"
110,"Birch Cleve Quarry","SS73/534","SS775390",277500,139000,51.137128,-3.7523221,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Kentisbury Slates","BY NATURE TRAIL SEDIMENTS",
111,"Cornham Ford Group","SS73/500","SS74673890",274670,138900,51.135616,-3.7927166,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Morte Slates","SEDIMENTS TECTONIC QUARTZ VEINS","Good declining"
112,"Roman Lode Gully","SS73/529","SS752382",275200,138200,51.12944,-3.7849027,"Exmoor National Park","Exmoor","TRUE","Full","Quaternary","landforms","SOILS PERIGLACIAL GULLY","Good declining"
113,"Cornham Ford Mining Group","SS73/536","SS74883829",274880,138290,51.130179,-3.7895047,"Exmoor National Park","Exmoor","TRUE",,"Devonian","minerals",,
114,"Drybridge Quarry","SS73/509","SS76143851",276140,138510,51.132431,-3.7715826,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Morte Slate","PEAT SEDIMENTS","Poor steady"
115,"Pinkery Head Section","SS74/502","SS724408",272400,140800,51.15219,-3.825818,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Morte Slate","GOOD EXPOSURE OF HEAD","Good declining"
116,"Shortcombe Rocks","SS74/503","SS725408",272500,140800,51.152212,-3.824389,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Kentisbury Slates","LANDSFORMS (KNOLLS) SLATES","Good"
117,"Upper Exe-Warren Gp","SS74/508","SS760417",276000,141700,51.161071,-3.7746821,"Exmoor National Park","Exmoor","TRUE","Conditional","Devonian","Hangman Sandstone","LANDFORMS KNOLLS 1952 FLOOD EVIDENCE Soils","Good steady"
118,"Ashton Cleave Scree","SS74/514","SS79204865",279200,148650,51.224222,-3.7312824,"Exmoor National Park","Oare","TRUE","Full","Devonian","faces - Hangman Sandstone","Scree Tectonic Shattering Classic LF Periglacial","Good"
119,"Pinkworthy Pond Exposure","SS74/516","SS72264220",272260,142200,51.164741,-3.8283162,"Exmoor National Park","Exmoor","TRUE","Full","Devonian","Kentisbury Slates","Seds. Slates LF=Terracettes Stream Erosion Soils Tect.","Good"
120,"Oare Water Channel","SS74/517","SS79334815",279330,148150,51.219755,-3.7292532,"Exmoor National Park","Oare","TRUE","Full","Devonian","Hangman Sandstone","TECTONIC  SEDIMENTS","Good"
121,"Pinkworthy Valley Soils","SS74/523","SS72144152",272140,141520,51.158603,-3.8297896,"Exmoor National Park","Exmoor","TRUE","Full","Quaternary","Soils (and head)","HEAD SLATES PEAT EDGE OF RAISED BOG SOILS","Good"
122,"Newland Quarry","SS83/504","SS82503855",282500,138550,51.134132,-3.6807418,"Exmoor National Park","Exmoor","TRUE",,"Devonian","Ilfracombe Beds",,
123,"Pinns Quarry","SS83/509","SS88573819",288570,138190,51.13211,-3.5939121,"Exmoor National Park","Cutcombe","FALSE","Conditional","Devonian","Roadwater Limestone","VADOSE PIPES  SEDIMENTS","Good declining"
124,"Pennycombe Gape Knolls","SS83/519","SS841372",284100,137200,51.122324,-3.6574496,"Exmoor National Park","Withypool","FALSE","Conditional","Devonian","Morte Slates landforms","KNOLLS  TECTONICS","Good"
125,"Upper Willingford Gully","SS83/528","SS81753260",281750,132600,51.080498,-3.6895045,"Exmoor National Park","Withypool","TRUE","Full","Devonian","Upper Willingford Gully","ACTIVE GULLY","Good"
126,"L Willingford Bridge Quarry","SS83/535","SS818322",281800,132200,51.076913,-3.6886601,"Exmoor National Park","Withypool","TRUE","Conditional","Devonian","Pickwell Down Beds","SEDIMENTIARY STRUCTURES TECTONICS",
127,"Landacre Bridge","SS83/526","SS8036",280000,136000,51.110693,-3.7156064,"Exmoor National Park","Withypool","TRUE","Full","Devonian","Morte Slates",,"Good"
128,"Tarr Steps & Quarry","SS83/543-544","SS86733208",286730,132080,51.076829,-3.6182783,"Exmoor National Park","Withypool","TRUE","Full","Devonian","Pickwell Down Beds","SEDS. & SEDIMENTARY STRUCTURES TECTONICS","Good"
129,"The Punch Bowl","SS83/545","SS880446",288000,144600,51.189615,-3.6040527,"Exmoor National Park","Withypool","TRUE","Conditional","Devonian","Pickwell Down Beds","CONTROVERSIAL GLACIAL CIRQUE??",
130,"Hope Quarry","SS8953 3628","SS89533628",289530,136280,51.115128,-3.5796117,"Exmoor National Park","Winsford","FALSE","Conditional","Devonian","Brendon Hill Beds","SEDIMENTS TECTONICS",
131,"Hurlstone Point","SS84/500","SS899492",289900,149200,51.231332,-3.578289,"Exmoor National Park","Selworthy","TRUE","Full","Devonian","Hangman Sandstone","SEDIMENTS MINERAL VEINS TECTONICS",
132,"Weir Water Reserve","SS84/530","SS826464",282600,146400,51.204709,-3.6818787,"Exmoor National Park","Porlock","TRUE","Full","Quaternary/Devon","landforms","KNOLLS GOYLES TECTONICS ","Good"
133,"Dunkery Gate","SS84/528","SS89574563",289570,145630,51.199179,-3.5819131,"Exmoor National Park","Cutcombe","TRUE","Full","Quaternary/Devon","Manley Beds","SEDIMENTS GOYLE HEAD SOIL PROFILES FLUVIAL","Good declining"
134,"Bossington Beach","SS84/529","SS870476",287000,147600,51.216383,-3.6193018,"Exmoor National Park","Porlock","TRUE","Full","Quaternary","beach","Subm. Forest, Shingle Beach Fluv. Nat. Retreat Salt Marsh","Good"
135,"Culbone Coast Cliffs","SS84/531","SS840486",284000,148600,51.224769,-3.6625601,"Exmoor National Park","Porlock","TRUE","Full","Devonian","Hangman Sandstone Group","TRENTISOE FORMATION SEDIMENTS TECTONICS","Good declining"
