gcr_number,GCR_NAME,admin_area,BLOCK_NAME,NAME,GCR_STATUS,GRID_REF,LATITUDE,LONGITUDE,EASTING,NORTHING,GCR_DATE,REVIEW_DATE,AGENCY,GCR_STATEMENT,SYSTEM,ESCC,SSSI_NAME,GCR_Link,SSSI_Link
524,Blackdown,Dorset,Palaeogene,Western Outliers of Dorset and Devon,Notified,SY613875,50.69,-2.55,361300,87500,1981/03/01,1984/01/16,NE,"A key Tertiary locality, the importance of Blackdown is two-fold. Firstly, it provides a striking example of high-energy, alluvial (?braided river) sedimentation, unique in the Eocene of the Hampshire Basin. Secondly, the composition of the gravels is of particular significance in the reconstruction of the structural evolution of the basin, in that it provides evidence of Eocene movement on the Ridgeway Fault.",Tertiary,"Exposures in Disused Quarries, Pits and Cuttings",BLACKDOWN (HARDY MONUMENT),,
1285,Blacknor,Dorset,Mass movement,,Notified,SY678714,50.54,-2.45,367800,71400,1982/11/01,1984/12/19,NE,"The cliffs on the western coast of the Isle of Portland exhibit probably the best British examples of slab failures. The island is traversed by numerous NE-SW trending joints in the Purbeck and Portland beds, many of them widened by slipping over the underlying Kimmeridge Clay and Portland Sand. In many places the walls of these widened joints are coated with flowstone, resulting from redeposition of dissolved calcium carbonate. The flowstone coated cliff faces here were formerly the walls of such fissures. That cliff recession has proceeded here by successive collapse of large rock masses bounded by such fissures is evidenced by the massive subcuboidal blocks which litter the debris slope between the cliff foot and the foreshore.",Quaternary,Active Process Geomorphological Site,ISLE OF PORTLAND,,
2249,Blashenwell Farm,Dorset,Quaternary of South Central England,,Notified,SY952805,50.62,-2.07,395200,80500,1987/08/12,1987/08/12,NE,"HOLOCENE TUFA
The tufa deposit at Blashenwell Farm is important for Quaternary studies, providing a detailed record of molluscan biostratigraphy and environmental history during the early- and mid-Flandrian (mollusc assemblage zones b to d). It is particularly valuable for the length and continuity of the record and the dating potential provided by the presence of associated archaeological remains. Several radiocarbon dates are also available from the site.",Quaternary,Finite buried,BLASHENWELL FARM PIT,,
1526,Blind Lane,Dorset,Kimmeridgian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY576856,50.67,-2.6,357600,85600,1984/02/01,1985/04/25,NE,"This locality shows the oolitic ironstones and sandy beds of the Abbotsbury Ironstone, a marine deposit of Kimmeridgian (Upper Jurassic) Age. This unusual facies yields typical ammonites of the cymodoce Zone making it possible to equate these distinctive and arealy restricted rocks with the more normal clays and silts seen in this part of the Lower Kimmeridgian elsewhere in Dorset. This is an important site for its faunas and for the information it affords on marine sedimentation and environments in the late Jurassic.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",ABBOTSBURY BLIND LANE,,
53,Bradford Abbas Railway Cutting,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST592145,50.93,-2.58,359200,114500,1979/10/01,1985/04/25,NE,An internationally important Middle Jurassic locality. The only remaining section in an area where the condensed limestones of the Inferior Oolite were once well-exposed and famous for their palaeonotology. Many type specimens particularly of molluscan species came from here. The Bradford Fossil Bed section constitutes a reference section for parts of the Aalenian and Bajocian stages (the concavum and discites zones). The Bradford Abbas cutting is the standard section for these internationally applicable time units.,Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",BRADFORD ABBAS RAILWAY CUTTING,,
1537,Broom Gravel Pits,Dorset,Quaternary of South-West England,"The Quaternary history of the Somerset lowland, Mendip Hills and adjacent areas",Notified,ST328023,50.82,-2.95,332800,102300,1984/02/01,1984/09/06,NE,"Broom Gravel Pits are sites of the highest importance for Pleistocene studies. They provide critical sections in the terrace gravels of the Axe Valley which has long been famous for its Pleistocene geomorphological and archaeological interest relating to the Hoxnian and Wolstonian periods. Not only are the pits of geomorphological significance for representative sections in the gravel deposits, but they also provide unique evidence for environmental conditions during part of the Middle Pleistocene period of south-west England. Broom Gravel Pits are therefore key reference sites in a classic area for Pleistocene studies.",Quaternary,"Exposures in Disused Quarries, Pits and Cuttings",BROOM GRAVEL PITS,,
51,Burton Cliff and Cliff Hill Road Section,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,SY492887,50.7,-2.72,349200,88700,1979/10/01,1986/08/27,NE,"Famous as one of the most important and most visited British Jurassic outcrops, the Burton Cliff section displays a complete Inferior Oolite succession together with part of the finest available Bridport Sands outcrop. This locality figures strongly in all previous accounts of Middle Jurassic geology and is of great value in several fields of research at the present-day as well as being a prime educational site. Although not formally designated as such, for practical purposes the Burton section may informally be taken as the international standard for part of the Upper Bajocian Stage (bomfordi Subzone). This locality constitutes an irreplaceable part of the unrivalled and internationally essential Jurassic succession of the Dorset Coast.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",BURTON BRADSTOCK,,
435,Chalbury,Dorset,Portlandian - Berriasian,,Notified,SY694837,50.65,-2.43,369400,83700,1980/12/01,1983/06/20,NE,"The site, cut through Portland and Purbeck beds, provides an outstanding section for these units in the Dorset West Mainland outcrop, from the Portland Clay to the Dirt and Cap beds. The chalky micritic facies of the Portland Stone differs markedly from the coarser carbonates seen in all coastal outcrops on Portland and to the east of Ringstead. This lithological difference was a direct consequence of a swell situated between the Ringstead-Portland area and separating the two depositional basins. The basal Portland Stone has here yielded frequent ammonites, of great interest in studies of latest Jurassic stratigraphy. The basal Purbeck beds contain in situ trees, preserved in their life position. An important late Jurassic palaeonotological and stratigraphic locality.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",CHALBURY HILL AND QUARRY,,
794,Charmouth,Dorset,Palaeoentomology,,Notified,SY359931,50.73,-2.91,335900,93100,1981/10/01,1986/08/27,NE,"The Woodstones and Flatstones at Black Ven and Stonebarrow are the most productive source of Lias insects in Britain. Five species unique to the site have already been described; many specimens collected have yet to be studied or described. The fauna includes representatives of the Odonata, Hemiptera, Coleoptera and Orthoptera, associated with a normal Lias marine fauna. This derived, but well-preserved insect fauna, constitutes the richest accumulation known from the British Lower Jurassic.",Jurassic,Coastal and River Cliffs,WEST DORSET COAST,,
1800,Chesil Beach,Dorset,Coastal Geomorphology of England,Gravel and 'shingle' beaches,Notified,SY462903,50.71,-2.76,346200,90300,1985/08/01,1986/08/27,NE,"Chesil Beach is a site of international importance for coastal geomorphology. Together with Dungeness and Orford Ness it is one of three major shingle structures on the coast of Britain, but differs from the others in being essentially a linear storm beach rather than a cuspate foreland. Chesil Beach is of exceptional importance, firstly for its size, secondly for the systematic size-grading of the pebbles and cobbles alongshore and their lithological composition, and thirdly for the available historical records of beach changes. Chesil Beach is of the highest geomorphological value both as a classic landform and as a full-scale, natural laboratory for the study of beach processes. Chesil Beach is cited in numerous scientific papers and textbooks and has been described as unique.",Quaternary,Active Process Geomorphological Site,CHESIL & THE FLEET,,
251,Cliff Hill Road Section,Dorset,Toarcian,The Wessex Basin (Dorset and central Somerset),Notified,SY486892,50.7,-2.73,348600,89200,1980/01/01,1986/08/20,NE,"Cliff Hill Road provides an excellent section of the junction of the Aalenian/Bajocian Inferior Oolite, with the mainly Toarcian Bridport Sands. In particular, it provides what is probably the best exposure of rocks of aalensis Subzone, levesquei Zone age in Britain.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",BURTON BRADSTOCK,,
725,Cliff House,Dorset,Portlandian - Berriasian,,Notified,SY762815,50.63,-2.34,376200,81500,1981/09/01,1985/08/07,NE,Here beneath the Cretaceous overstep is seen a key section from the Upper Kimmeridge Clay to the Lower Purbeck Beds. The intervening Portland Sand-Portland Stone vividly demonstrate the marked effect on sediment thickness and facies changes produced by the presence of a swell in the Ringstead area during the Kimmeridgian and Portlandian times. A key section for demonstrating facies changes in relation to ammonite stratigraphy in the type area for the Portland Beds.,Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
164,Conegar Hill,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST439028,50.82,-2.8,343900,102800,1979/12/01,1985/04/25,NE,"A key section through the Bridport Sands and Lower Inferior Oolite of importance for the datable ammonite and rich brachiopod assemblages which it contains. The Scissum Beds and the topmost Bridport Sands in particular are of interest for their contained faunas. Above the Scissum Beds the Inferior Oolite yields the distinctive ammonite faunas of the murchisonae Zone, critical to Aalenian stratigraphic studies. An outstanding fossil and stratigraphic locality.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",CONEGAR ROAD CUTTING,,
1899,Corfe Castle,Dorset,Quaternary of South Central England,,Confirmed,SY959823,50.64,-2.06,395900,82300,1986/03/01,1986/03/27,NE,"Corfe Castle is a classic geomorphological locality, noted for a double river gap breached through the anticlinal ridge of the Chalk by the northward flowing headwaters of the Corfe River. It is an important locality for the denudational chronology and palaeohydrology of southern England.",Quaternary,,CORFE COMMON,,
1855,Corton Cutting,Dorset,Portlandian - Berriasian,,Notified,SY637855,50.67,-2.51,363700,85500,1985/11/01,1986/02/27,NE,"This locality shows a section through the Upper Jurassic Portland Sand. The upper part of this formation is represented by a remarkable development of lime mudstones and sponge spicule mudstones with an abundant marine fauna of Nanogyra, serpulid worms and ammonites, taken to be the equivalents of the Exogyra Bed of Ringstead and Portland. These beds are followed by the dolomites of the West Weare Sandstones which are evidence of a sudden deepening of the sea in this part of Dorset in mid-Portland Sand times, reversing the overall trend of marine shallowing through the late Jurassic. This is an important site for the study of facies and stratigraphy in the Jurassic rocks of Dorset.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",CORTON CUTTING,,
1254,Creechbarrow,Dorset,Tertiary Mammalia,,Confirmed,SY922824,50.64,-2.11,392200,82400,1982/11/01,1986/02/27,NE,"A site with late Eocene deposits yielding at least thirty-seven species of mammals. The Creechbarrow Limestone is so far the only deposit in Britain to have yielded a diverse fauna from Bartonian levels. Comparatively, Creechbarrow has produced the best available fauna of this age in Europe, with the possible exception of one coeval deposit in southern France. A locality with a unique British deposit and fauna.",Tertiary,,,,
3031,Creechbarrow,Dorset,Palaeogene,Western Outliers of Dorset and Devon,Proposed,SY922824,50.64,-2.11,392200,82400,1997/06/02,2000/01/02,NE,"Of the 'Creechbarrow Beds', the uppermost unit, the Creechbarrow Limestone, is the most significant both stratigraphically and palaeogeographically.

The Creechbarrow Limestone at Creechbarrow is the sole remnant of a non-marine limestone of early late Eocene age in the Hampshire Basin and may represent a marginal facies equivalent to more marine strata further east.  It bears some resemblance to the Bembridge Limestone and other freshwater limestones of the Isle of Wight, although there are considerable faunal differences.

The presence of terrestrial as well as non-marine gastropods, together with a rich mammalian fauna, including a significant aboreal element, suggests a possible palustrine environment adjacent to a tropical wooded hinterland.

The structural relationship between the Creechbarrow beds and the underlying chalk, together with the presence of derived Mesozoic fossils and pebbles, supports the view that by mid-eocene times, folds and other tectonic structures which had developed in the early Palaeogene had already been considerably dissected by erosion.",Tertiary,,,,
2066,Crookhill Brickpit,Dorset,Callovian,The Middle Jurassic Stratigraphy of Wessex,Notified,SY644798,50.62,-2.5,364400,79800,1986/09/01,1986/08/29,NE,"This disused brickpit provides the best exposure of Lower and Middle Oxford Clay in southern England, showing a sequence through the jason, coronatum and athleta zones, of Middle Jurassic age. There are considerable differences in zonal thickness and lithology between this section and the sections in the Midlands, with the grossouvrei Subzone being greatly expanded at Crookhill. The clays and shales seen here contain a rich fauna of ammonnites, belemnites and bivalves, with the athleta Zone fauna being particularly prolific and important. Reineckeid ammonites, usually rare in the British Callovian, occur fairly commonly in the athleta Zone here. A key locality for British Callovian biostratigraphy.",Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",CROOKHILL BRICK PIT,,
1124,Cull-Pepper's Dish,Dorset,Karst,Outlying karst areas in England,Notified,SY814926,50.73,-2.26,381400,92600,1982/07/01,1985/04/30,NE,"The site covers a single large subsidence doline which is the largest karst feature on the Bryants Puddle heathland. It is formed in Tertiary and Quaternary sands overlying the Chalk, and provides an excellent example of a landscape feature formed by the extensive subsurface solution of the Chalk of southern England.",Quaternary,Caves and Karst,CULL-PEPPERS DISH,,
1006,Dungy Head - Mupe,Dorset,Portlandian - Berriasian,,Notified,SY815800,50.62,-2.26,381500,80000,1981/12/01,1985/08/07,NE,"Spectacular coastal sections through late Jurassic sediments are here seen on the steep northern limb of the Weymouth anticline. A complete Portland to Wealden succession may be seen between Dungy Head and Worbarrow Bay. A comparatively thin Portland and Purbeck sequence occurs here as the depositional area lay on the eastern flank of the postulated Ringstead swell; a late Jurassic positive feature. The site, besides its important stratigraphic sequences, also affords remarkable sections showing the famous, basal Purbeck fossil forest and associated stromatolites, the best (strike) sections through the problematical Broken Beds, and the spectacular Lulworth Crumple at Stair Hole, a structure variously attributed to gravity sliding, or incompetence of Purbeck strata during folding. A classic locality for British geology.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
2627,Durdle Door,Dorset,Wealden,,Notified,SY807803,50.62,-2.27,380700,80300,1988/09/15,2000/01/02,NE,"A coastal cliff promontory here exposes the Wealden (66m) on both sides, overlain erosively by Gault (Albian). Older Wealden (40m) is cut out by faulting. This western fragment of the Wessex Formation is the coarsest known development of the alluvial facies. The Coarse Quartz Grit Member reaches its maximum recorded thickness (8.5m) and coarseness, and some beds may preserve relict frame textures. It is therefore the most proximal facies known, perhaps partly deposited near the apex of an alluvial cone by mass flow from a gorge on the basin margin. The clasts are totally Cornubian in origin. Recycled Jurassic material is absent. Plant fragments, including possible charcoal from forest fires, are abundant, but there are no animal fossils. The Vectis Formation is absent. This is an outstanding site in the Wessex Basin, of importance for its unique and superb exposure.",Cretaceous,Coastal and River Cliffs,SOUTH DORSET COAST,,
547,Durlston Bay,Dorset,Mesozoic Mammalia,,Notified,SZ035772,50.59,-1.95,403500,77200,1981/04/01,1985/08/07,NE,"The first known Upper Jurassic mammals came from this site. Some eighteen species have been described and these constitute one of the most important collections of mammals from the Mesozoic made anywhere in the world. They allow correlation with the famous mammal faunas of Como Bluff in Wyoming. Four genera occurring in the diverse assemblage in the mammal beds at Durlston, namely Ctenacodon, Trioracodon, Amblotherium and Docodon, are found at Wyoming sites. One of Britain's most important palaeontological and evolutionary sites.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
724,Durlston Bay,Dorset,Portlandian - Berriasian,,Notified,SZ035780,50.6,-1.95,403500,78000,1981/09/01,1985/08/07,NE,"This classic site, the type locality for the Purbeck Beds, is the finest Jurassic-Cretaceous Purbeck facies locality in England, famous for its diverse vertebrate and invertebrate fauna and flora, particularly its reptiles and Mammalia. This, the thickest of the Purbeck Beds sections, has been famous since the classic accounts of Webster and Forbes in the early and mid 19th century. These remarkable mixed marine, brackish - and freshwater - sediments mark the change from open marine conditions, dominant in the Jurassic, to the terrestrial situation which was to persist, over much of western Europe, into early Cretaceous times. One of Britain's most important faunal, environmental and stratigraphic localities.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
793,Durlston Bay,Dorset,Palaeoentomology,,Notified,SZ035772,50.59,-1.95,403500,77200,1981/10/01,1985/08/07,NE,This is currently the most productive site for Upper Jurassic Purbeck insects in Europe and more than 200 species new to science have been described from here. The insect remains occur in several fine-grained limestone beds in the Lower and Middle Purbeck Beds. Twelve orders of insects are represented. Dominant groups are the beetles and cockroaches. Britain's richest Jurassic fossil insect site.,Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
914,Durlston Bay,Dorset,Jurassic - Cretaceous Reptilia,British Late Jurassic fossil reptiles sites,Notified,SZ035772,50.59,-1.95,403500,77200,1981/11/01,1985/08/07,NE,"The Purbeck Beds of Durlston Bay are famed for their abundant delicately preserved reptile remains. Hundreds of specimens of turtles, rhynchocephalians, lizards, crocodiles, pterosaurs and dinosaurs have been collected, and these include at least 29 type specimens. These fossils occur in several horizons in the Middle and Upper Purbeck of this section, namely: Lower Building Stone (turtles, dinosaur), Upper Building Stone (turtles, crocodiles, pterosaur, dinosaur footprints), Corbula Beds (turtles), and Unio Beds (turtles, crocodiles). The lizards and small terrestrial crocodiles from the Middle Purbeck Mammal Bed are especially important. Many of the remains from Durlston Bay are unique, and it is the most important late Jurassic-early Cretaceous reptiles site in the world.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
2900,Durlston Bay,Dorset,Mesozoic - Tertiary Fish/Amphibia,British Jurassic fossil fishes sites,Notified,SZ035772,50.59,-1.95,403500,77200,1989/06/22,2000/01/02,NE,"Fish occur throughout the succession but the fine specimens are concentrated in the Upper and Lower Building Stones of the Middle Purbeck. Thirty-two species are recognised from here, and Swanage is the given type locality for the majority of these. Both freshwater and marine forms occur. The assemblage is rich in holostean fishes (actinopterygians with large grinding teeth) and contains some of the earliest teleost fishes. Swanage is the type and only locality for two species of these early teleosts; Thrissops molossus and Pachythrissops laevis. This is also the type locality for the coelacanth Holophagus purbeckensis.",Jurassic,Coastal and River Cliffs,SOUTH DORSET COAST,,
253,East Cliff,Dorset,Toarcian,The Wessex Basin (Dorset and central Somerset),Notified,SY463902,50.71,-2.76,346300,90200,1980/01/01,1986/08/27,NE,East Cliff provides one of the most complete exposures of the Bridport Sands. This section is complemented by its equally classic continuation in Burton Cliff. In particular it is one of the few exposures yielding latest Toarcian moorei Subzone ammonites in south Dorset. An historic site with unrivalled lower Jurassic exposures of national importance.,Jurassic,Coastal and River Cliffs,WEST DORSET COAST,,
1298,East Fleet to Small Mouth,Dorset,Kimmeridgian,Upper Jurassic Stratigraphy from Dorset to Oxford,Notified,SY659767,50.59,-2.48,365900,76700,1982/11/01,1985/10/25,NE,"A locality showing the thickest baylei-cymodoce zones Kimmeridge Clay in Dorset. Above a clear junction with the Corallian Beds, an eleven metre section is visible up to the Black Head Siltstone. Historically, Waagen defined the boundary between the Corallian and Kimmeridge Beds in this section, and the site is still important as the source of Rasenia, and in the subdivision of the cymodoce Zone on the basis of its faunal assemblages. An historic locality in studies of Kimmeridgian strata.",Jurassic,Foreshore Exposures,CHESIL & THE FLEET,,
996,Freshwater Bay,Dorset,Portlandian - Berriasian,,Notified,SY691700,50.53,-2.44,369100,70000,1981/12/01,1984/12/19,NE,"Freshwater Bay provides a full Portland Stone section from the Portland Clay to the basal Purbeck Beds. It provides some of the most accessible sections at the junction between the Portland Clay and the Basal Shell Bed, the latter with its normal rich molluscan fauna and common ammonites. In the revision of the Portland Standard Zones, Freshwater Bay has been selected as the reference section for the base of the Titanites anguiformis Zone, the zone which contains the famous Titanites fauna of the Portland Freestone. A locality of international significance for biostratigraphic studies.",Jurassic,Coastal and River Cliffs,ISLE OF PORTLAND,,
523,"Friars Cliff, Mudeford",Dorset,Palaeogene,Hampshire basin: mainland localities,Notified,SZ195927,50.73,-1.72,419500,92700,1981/04/01,1986/03/27,NE,"A key Tertiary site. Friar's Cliff provides an opportunity to study the marginal marine sediments deposited during the terminal, regressive phase of the Auversian (Upper Bracklesham) and the earliest, marine transgressive phase of the Bartonian. The section provides an unique exposure of distributary mouth-bar sequences in the uppermost Bracklesham Beds and, together with sections in Poole Bay, enable a good reconstruction of an ancient estuary to be made.",Tertiary,Coastal and River Cliffs,HIGHCLIFFE TO MILFORD CLIFFS,,
55,Frogden Quarry,Dorset,Aalenian - Bajocian,The Middle Jurassic Stratigraphy of Wessex,Notified,ST649183,50.96,-2.5,364900,118300,1979/10/01,1985/04/25,NE,An internationally important geological locality. This is the only site in southern England where the Lower-Upper Bajocian humphriesianum and subfurcatum zones are represented by relatively uncondensed successions. As these two time intervals are normally either unrepresented or occur in attenuated form the Frogden section is of immense stratigraphical significance. The site has produced the bulk of type material for the ammonite zonal indices of the subfurcatum and humphriesianum zones. International reference and definition of these time intervals thus must rely heavily on the Frogden sequence and its faunas.,Jurassic,"Exposures in Disused Quarries, Pits and Cuttings",FROGDEN QUARRY,,
1863,Furzy Cliff - Peveril Point,Dorset,Coastal Geomorphology of England,Coastal assemblages,Notified,SY697816,50.63,-2.43,369700,81600,1986/01/01,1985/08/07,NE,"Furzy Cliff to Peveril Point is a key site for coastal geomorphology. It is one of the most important coastlines in Britain for demonstrating relationships between rock structure, rock strength and coastal landforms, and incorporates several classic coastal localities, such as Lulworth Cove. A series of small bays, containing beaches distinguished by local grading of sediment fed from distinct, identifiable sources, provide unequalled opportunities for the study of beach development. Overall, the range of features developed on a variety of rock types makes Furzy Cliff to Peveril Point a coastline of paramount importance for understanding coastal form-process-material relationships. It is a coastline heavily used for educational purposes and one attracting increasing research interest.",Quaternary,Active Process Geomorphological Site,SOUTH DORSET COAST,,
